,isbn_13,isbn_10,lta
52,9780007124015,0007124015,"['International Fantasy Award (Fiction, 1957)', 'Waterstones Books of the Century (1997, No 1)', ""Waterstones The Nation's Favourite Children's Books (1997, No 17)"", ""Time's All-Time 100 Novels selection"", ""BBC's Big Read (Best loved novel, 2003, No 01)"", ""The Modern Library's 100 Best Novels: The Reader's List (4)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (40)', ""The Observer's 100 Greatest Novels of All Time (64)"", 'A Catholic Lifetime Reading Plan (Literary Classics)', 'HarperCollins 100 Best Spiritual Books of the Century', 'Meilleur livre étranger (Roman, 1972)', 'Whitcoulls top 100, 2008 (1)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Science Fiction & Fantasy)', ""The Telegraph's 110 Best Books: The Perfect Library (2008)"", 'Prometheus Hall of Fame Award (2009)', 'BILBY (Older Readers, 2002)', ""Newsweek's Top 100 Books: The Meta-List (2009, No. 35)"", 'Locus 1987 Poll, All-Time Best Fantasy Novel (1)', 'Locus 1975 Poll, All-Time Best Novel (15)', 'thisrecording.com 100 Greatest Science Fiction or Fantasy Novels of All Time (13)', 'Locus 1998 Poll, All-Time Best Fantasy Novel Before 1990 (1)', 'Fantasy: The 100 Best Books (1955)', ""David Pringle's Modern Fantasy: The 100 Best Novels (1955)"", ""The Telegraph's 100 novels everyone should read (100)"", 'Whitcoulls top 100, 2010 (6)', 'ISFDB Top 100 Books - Popular List (32)', ""The Essential Man's Library: 50 Fictional Adventure Books"", 'The Top Ten: Writers Pick Their Favorite Books (268|7 points)', ""Le Monde's 100 Books of the Century (58)"", 'Museums, Libraries, and Archives Society\'s ""30 Books Every Adult Should Read Before They Die"" (3)', 'Whitcoulls top 100, 2008', 'Harenberg Buch der 1000 Bücher', 'The 100 Favorite Novels of Librarians (5)', 'Prometheus Award Shortlist (Hall of Fame, 2002)', 'Prometheus Award Shortlist (Hall of Fame, 2003)', 'Prometheus Award Shortlist (Hall of Fame, 2004)', 'Prometheus Award Shortlist (Hall of Fame, 2005)', 'Prometheus Award Shortlist (Hall of Fame, 2006)', 'Prometheus Award Shortlist (Hall of Fame, 2007)', 'Prometheus Award Shortlist (Hall of Fame, 2008)', 'Геном русской души (17)', 'Голямото четене (6)', ""Christianity Today's Books of the Century (4)"", 'Harvard Bookstore Top 100 (8)', ""NPR's Top 100 Science-Fiction, Fantasy Books (1)"", '1000 лучших произведений мировой худ. литературы в русских переводах, рекомендованных для комплектования школьной библиотеки', '1001 böcker du måste läsa innan du dör', 'BBC Culture - The 100 Greatest British Novels (26)', 'The Great American Read (5)', 'Schecks Bücher (3)', '1000 Books to Read Before You Die (2018)', 'Les 100 livres préférés des Français', 'Les meilleurs romans écrits ou traduits en français, selon les lecteurs de Livresse', 'The New Lifetime Reading Plan With Going Further (220.4)', '66 Bücher, von denen alle sagen, dass du sie gelesen haben musst', 'ZDF Das große Lesen - Die Lieblingsbücher der Deutschen (1)', 'Greatest Books algorithm (#53)']"
53,9780007126903,0007126905,"['Pulitzer Prize (2002.3|History, 2002)', 'New York Times Best Books of the Year (2001)', 'Francis Parkman Prize (2002)', 'Heartland Prize (Non-Fiction, 2001)', 'Christian Science Monitor Best Book (2001)', 'Longman/History Today Book of the Year Shortlist (2003)', 'Los Angeles Times Book Prize finalist (History, 2001)', '1000 Books to Read Before You Die (2018)', 'The Economist Best Books (2001.4)']"
54,9780007127740,000712774X,"['Astounding/Analog Science Fiction and Fact 1952 All-Time Poll (10)', 'International Fantasy Awards Nominee (Fiction, 1952)', 'Astounding/Analog Science Fiction and Fact 1956 All-Time Poll (22)', 'Classics of Science Fiction (120)', 'AbeBooks: 50 Essential Science Fiction Books', '1001 böcker du måste läsa innan du dör', ""NPR's Top 100 Science-Fiction, Fantasy Books (91)""]"
55,9780007129652,0007129653,
56,9780007130313,0007130317,"['Isinglass Teen Reads Award (2004)', 'New Hampshire Isinglass Teen Read Award (2004)', 'Wyoming Soaring Eagle Nominee (2004|1st Runner-up 2004)']"
57,9780007135653,0007135653,
58,9780007136582,0007136587,"['International Fantasy Award (Fiction, 1957)', 'Waterstones Books of the Century (1997, No 1)', ""Waterstones The Nation's Favourite Children's Books (1997, No 17)"", ""Time's All-Time 100 Novels selection"", ""BBC's Big Read (Best loved novel, 2003, No 01)"", ""The Modern Library's 100 Best Novels: The Reader's List (4)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (40)', ""The Observer's 100 Greatest Novels of All Time (64)"", 'A Catholic Lifetime Reading Plan (Literary Classics)', 'HarperCollins 100 Best Spiritual Books of the Century', 'Meilleur livre étranger (Roman, 1972)', 'Whitcoulls top 100, 2008 (1)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Guardian 1000 (Science Fiction & Fantasy)', ""The Telegraph's 110 Best Books: The Perfect Library (2008)"", 'Prometheus Hall of Fame Award (2009)', 'BILBY (Older Readers, 2002)', ""Newsweek's Top 100 Books: The Meta-List (2009, No. 35)"", 'Locus 1987 Poll, All-Time Best Fantasy Novel (1)', 'Locus 1975 Poll, All-Time Best Novel (15)', 'thisrecording.com 100 Greatest Science Fiction or Fantasy Novels of All Time (13)', 'Locus 1998 Poll, All-Time Best Fantasy Novel Before 1990 (1)', 'Fantasy: The 100 Best Books (1955)', ""David Pringle's Modern Fantasy: The 100 Best Novels (1955)"", ""The Telegraph's 100 novels everyone should read (100)"", 'Whitcoulls top 100, 2010 (6)', 'ISFDB Top 100 Books - Popular List (32)', ""The Essential Man's Library: 50 Fictional Adventure Books"", 'The Top Ten: Writers Pick Their Favorite Books (268|7 points)', ""Le Monde's 100 Books of the Century (58)"", 'Museums, Libraries, and Archives Society\'s ""30 Books Every Adult Should Read Before They Die"" (3)', 'Whitcoulls top 100, 2008', 'Harenberg Buch der 1000 Bücher', 'The 100 Favorite Novels of Librarians (5)', 'Prometheus Award Shortlist (Hall of Fame, 2002)', 'Prometheus Award Shortlist (Hall of Fame, 2003)', 'Prometheus Award Shortlist (Hall of Fame, 2004)', 'Prometheus Award Shortlist (Hall of Fame, 2005)', 'Prometheus Award Shortlist (Hall of Fame, 2006)', 'Prometheus Award Shortlist (Hall of Fame, 2007)', 'Prometheus Award Shortlist (Hall of Fame, 2008)', 'Геном русской души (17)', 'Голямото четене (6)', ""Christianity Today's Books of the Century (4)"", 'Harvard Bookstore Top 100 (8)', ""NPR's Top 100 Science-Fiction, Fantasy Books (1)"", '1000 лучших произведений мировой худ. литературы в русских переводах, рекомендованных для комплектования школьной библиотеки', '1001 böcker du måste läsa innan du dör', 'BBC Culture - The 100 Greatest British Novels (26)', 'The Great American Read (5)', 'Schecks Bücher (3)', '1000 Books to Read Before You Die (2018)', 'Les 100 livres préférés des Français', 'Les meilleurs romans écrits ou traduits en français, selon les lecteurs de Livresse', 'The New Lifetime Reading Plan With Going Further (220.4)', '66 Bücher, von denen alle sagen, dass du sie gelesen haben musst', 'ZDF Das große Lesen - Die Lieblingsbücher der Deutschen (1)', 'Greatest Books algorithm (#53)']"
59,9780007136599,0007136595,"[""1001 Children's Books You Must Read Before You Grow Up (2009.0801|2009, Ages 12↑)"", 'IBBY Honour Book (2004.3|Galician Translation, 2004)', 'IBBY Honour Book (2004.3|Slovak Translation, 2004)', 'Academy Award for Writing Adapted Screenplay Nominee (2001)', ""501 Must-Read Books (Children's Fiction)"", 'IBBY Honour Book (1980.3|Hebrew Translation, 1980)', '1001 böcker du måste läsa innan du dör']"
60,9780007137336,0007137338,"['Ditmar Award (Australian Novel, 2002)', ""South Australian Festival Award (Children's Literature, 2002)"", 'ALA Best Books for Young Adults (2002)', 'Locus Recommended Reading (Fantasy Novel, 2001)', ""Mythopoeic Fantasy Award Nominee (Children's Literature, 2005)"", 'Aurealis Award Finalist (2001.03|Fantasy Novel, 2001)', 'Aurealis Award Finalist (2001.07|YA Novel, 2001)', 'Capitol Choices Noteworthy Book for Children and Teens (2002|2001, 2002)', 'CCBC Choices (2001)', 'New Hampshire Isinglass Teen Read Award Nominee (2003)', ""IRA Young Adults' Choices Reading List (2003)""]"
61,9780007149124,0007149123,
