,isbn_13,isbn_10,lta
31,9780006551812,0006551815,"['New York City Book Award (Memoir, 1999)', 'New York Times bestseller (Nonfiction, 1999)', 'Public Libraries’ Chart Toppers (Non Fiction, 2000 - 2001)', 'Publishers Weekly Bestseller (Nonfiction, 1999)', 'Audie Award Finalist (Solo Narration - Author, 2000)', 'Audie Winner (Non-Fiction, 2000)']"
32,9780006646006,000664600X,
33,9780006754893,0006754899,
34,9780006906018,000690601X,
35,9780007103676,0007103670,"['World Fantasy Award (Novel, 1989)', 'New York Times bestseller (Fiction, 1988)']"
36,9780007105045,0007105045,
37,9780007111503,0007111509,
38,9780007113804,0007113803,
39,9780007116263,0007116268,
40,9780007117536,0007117531,
41,9780007119332,000711933X,
42,9780007119356,0007119356,
43,9780007120697,0007120699,
44,9780007120864,0007120869,
45,9780007120871,0007120877,
46,9780007120963,0007120966,"['Bloomsbury 100 Must-Read Crime Novels', 'The Modern Library: the 200 best novels in English since 1950 (1950s)', ""Anthony Boucher's Best Crime Fiction of the Year (1950)""]"
47,9780007120987,0007120982,"[""Anthony Boucher's Best Crime Fiction of the Year (1963)""]"
48,9780007121007,0007121008,"[""Anthony Boucher's Best Crime Fiction of the Year (1952)""]"
49,9780007121014,0007121016,
50,9780007121021,0007121024,
51,9780007121106,0007121105,
