item,itemLabel
http://www.wikidata.org/entity/Q42197418,La voluntad
http://www.wikidata.org/entity/Q42197663,Witness
http://www.wikidata.org/entity/Q42734941,The Oxford Dictionary of the Renaissance
http://www.wikidata.org/entity/Q42735573,The Oxford Dictionary of Phrase and Fable
http://www.wikidata.org/entity/Q42872230,Sir Perceval of Galles and Ywain and Gawain
http://www.wikidata.org/entity/Q43300595,"Women's Hats, Headdresses and Hairstyles"
http://www.wikidata.org/entity/Q43380914,The Oxford Companion to Chaucer
http://www.wikidata.org/entity/Q43738990,"The Nightmare Dance: Guilt, Shame, Heroism and the Holocaust"
http://www.wikidata.org/entity/Q44707252,Studies on the digestive enzymes of spiders
http://www.wikidata.org/entity/Q45150728,A Dictionary of Celtic Mythology
http://www.wikidata.org/entity/Q47038324,„Arisierung“ in Leipzig. Annäherung an ein lange verdrängtes Kapitel der Stadtgeschichte der Jahre 1933 bis 1945.
http://www.wikidata.org/entity/Q47073013,Scribes and Sources
http://www.wikidata.org/entity/Q47463825,The Concise Oxford Companion to English Literature
http://www.wikidata.org/entity/Q47517401,I Led Three Lives
http://www.wikidata.org/entity/Q49817158,Art-Language
http://www.wikidata.org/entity/Q50581186,Osteoporosis-our reality: What can we do?
http://www.wikidata.org/entity/Q50824663,Textile Manufactures in Early Modern England
http://www.wikidata.org/entity/Q50847320,"Treasures of Early Irish Art, 1500 B.C. to 1500 A.D."
http://www.wikidata.org/entity/Q51444176,Das Volk der Hirten
http://www.wikidata.org/entity/Q54104312,William Morris and Morris & Co.
http://www.wikidata.org/entity/Q54115669,Delphi Complete Works of William Morris
http://www.wikidata.org/entity/Q54260309,William Morris: Design and Enterprise in Victorian Britain
http://www.wikidata.org/entity/Q54685955,A Dictionary of Lace
http://www.wikidata.org/entity/Q55113576,African Lace
http://www.wikidata.org/entity/Q55664253,Embroidery and Tapestry Weaving
http://www.wikidata.org/entity/Q55739392,Translators' Introduction
http://www.wikidata.org/entity/Q55739491,Grammaire du français pour étrangers
http://www.wikidata.org/entity/Q55739500,Petite grammaire allemande
http://www.wikidata.org/entity/Q55739533,Petite grammaire russe
http://www.wikidata.org/entity/Q56753381,Liederbuch des Gau 19 Rostock des Deutschen Radfahrer-Bundes
http://www.wikidata.org/entity/Q57078806,Coming Out
http://www.wikidata.org/entity/Q57081054,Troublemodel
http://www.wikidata.org/entity/Q57081437,vasilylevanov.com
http://www.wikidata.org/entity/Q57081841,Lifeform
http://www.wikidata.org/entity/Q57082063,Synthedges
http://www.wikidata.org/entity/Q57082511,Gangbang
http://www.wikidata.org/entity/Q57082707,Test Me
http://www.wikidata.org/entity/Q57082821,Take No More
http://www.wikidata.org/entity/Q57083258,Kim
http://www.wikidata.org/entity/Q57083397,Distant Insanity
http://www.wikidata.org/entity/Q57083597,Black Sequence
http://www.wikidata.org/entity/Q57677572,Papileo auf Usedom – Eine Feininger-Radtour
http://www.wikidata.org/entity/Q57764341,The Railway Adventures
http://www.wikidata.org/entity/Q58116336,Fuggerorum et Fuggerarum
http://www.wikidata.org/entity/Q59496712,George E. Tyson Papers
http://www.wikidata.org/entity/Q59716498,LaM : La passion en héritage
http://www.wikidata.org/entity/Q59913390,Case of Venetian masterpiece looted by Nazis closed 80 years on
http://www.wikidata.org/entity/Q60035969,Media ja populismi: työkaluja kriittiseen journalismiin
http://www.wikidata.org/entity/Q60584112,A Treatise Concerning the Arte of Limning
http://www.wikidata.org/entity/Q61314927,Histoire du château de Châteaudun
http://www.wikidata.org/entity/Q61314974,Essai sur la flore dunoise
http://www.wikidata.org/entity/Q62027667,"Narrative of a Residence at the Capital of the Kingdom of Siam; with a Description of the Manners, Customs, and Laws of the Modern Siamese"
http://www.wikidata.org/entity/Q62468938,Sand and Canvas
http://www.wikidata.org/entity/Q62476017,Lost Amid the Fogs
http://www.wikidata.org/entity/Q63406102,The Fatal Marriage
http://www.wikidata.org/entity/Q63406105,The Fathers
http://www.wikidata.org/entity/Q63410892,Il figlio di due madri
http://www.wikidata.org/entity/Q63753293,La mujer nueva
http://www.wikidata.org/entity/Q63976821,Zukunftsmusik
http://www.wikidata.org/entity/Q63997407,L'Antéchrist
http://www.wikidata.org/entity/Q64021488,La Bergerie
http://www.wikidata.org/entity/Q64505779,Extinction Symbol
http://www.wikidata.org/entity/Q64785056,"Dr William Bland, ca. 1845 - portrait"
http://www.wikidata.org/entity/Q64878825,The 1886 Australian Photographic Journal
http://www.wikidata.org/entity/Q64879922,"George Caley and the Establishment of the first Botanical Garden, Parramatta"
http://www.wikidata.org/entity/Q66146582,Pioneer Days
http://www.wikidata.org/entity/Q66148884,Growing years
http://www.wikidata.org/entity/Q66150378,Critical years
http://www.wikidata.org/entity/Q66309339,Shaw years
http://www.wikidata.org/entity/Q66371947,Coinage of the Umayyads of Spain
http://www.wikidata.org/entity/Q66733706,Kooperativ in die digitale Zeit - wie öffentliche Kulturinstitutionen Cultural Commons fördern
http://www.wikidata.org/entity/Q67205945,ProQuest to Acquire Ex Libris
http://www.wikidata.org/entity/Q70237533,A Guide to Western Historical Scripts from Antiquity to 1600
http://www.wikidata.org/entity/Q73223791,Every Building on the Sunset Strip
http://www.wikidata.org/entity/Q73675757,The Records and Collections of the College of Arms
http://www.wikidata.org/entity/Q80224919,Epistle from the Marquis de Lafayette to General Washington
http://www.wikidata.org/entity/Q80225021,Moral Tales
http://www.wikidata.org/entity/Q80225048,Works of Epictetus
http://www.wikidata.org/entity/Q80225060,"England and Spain, or Valour and Patriotism"
http://www.wikidata.org/entity/Q80387363,A Collection of specimens of bark cloth as collected in the different voyages of Capt. Cook to the South Sea
http://www.wikidata.org/entity/Q80388466,Vol. 1: Watercolours and engravings illustrating Captain Cook's last voyage / John Webber
http://www.wikidata.org/entity/Q82943192,A római pápák történelme szent Pétertől korunkig
http://www.wikidata.org/entity/Q93523432,And Then They Touch You
http://www.wikidata.org/entity/Q93524092,A Universe Wrapped in Skin
http://www.wikidata.org/entity/Q94086060,Mein Weg zum Chassidismus
http://www.wikidata.org/entity/Q95592860,Metsäalan kymmenluokittelu
http://www.wikidata.org/entity/Q95596357,Global Forest Decimal Classification (GFDC)
