item,itemLabel
http://www.wikidata.org/entity/Q1120858,The Shadow Line
http://www.wikidata.org/entity/Q1123306,Mirage
http://www.wikidata.org/entity/Q1141032,"Histoire du Chevalier des Grieux, et de Manon Lescaut"
http://www.wikidata.org/entity/Q1142149,La Peau de chagrin
http://www.wikidata.org/entity/Q1157010,Fyrstinden af Cléves
http://www.wikidata.org/entity/Q1157010,La Princesse de Clèves
http://www.wikidata.org/entity/Q1163625,Le propre de l’homme
http://www.wikidata.org/entity/Q1164830,"""Danny, the Champion of the World"""
http://www.wikidata.org/entity/Q1169021,The Hotel New Hampshire
http://www.wikidata.org/entity/Q1171108,L'Étonnante Aventure de la mission Barsac
http://www.wikidata.org/entity/Q1171711,Borkmanns punkt
http://www.wikidata.org/entity/Q1176259,Farloirene Neshomes
http://www.wikidata.org/entity/Q1178834,"Moncada, premier combat de Fidel Castro"
http://www.wikidata.org/entity/Q1193812,Der Geisterseher.
http://www.wikidata.org/entity/Q1193847,El general en su laberinto
http://www.wikidata.org/entity/Q1194726,The Happy Return
http://www.wikidata.org/entity/Q1196748,Pictures of Perfection
http://www.wikidata.org/entity/Q1199412,The Love of the Last Tycoon
http://www.wikidata.org/entity/Q1212739,The Stepford Wives
http://www.wikidata.org/entity/Q1214098,Krzyżacy
http://www.wikidata.org/entity/Q1214433,Les Tribulations d'un Chinois en Chine
http://www.wikidata.org/entity/Q1215018,The Mill on the Floss
http://www.wikidata.org/entity/Q1216079,Die Schuldlosen
http://www.wikidata.org/entity/Q1219239,The Red Badge of Courage
http://www.wikidata.org/entity/Q1219874,Белая гвардия
http://www.wikidata.org/entity/Q1247666,The Secret Agent
http://www.wikidata.org/entity/Q1249322,Show Boat
http://www.wikidata.org/entity/Q1249393,Doktor Glas
http://www.wikidata.org/entity/Q1249536,The Scarlet Pimpernel
http://www.wikidata.org/entity/Q1255078,Salomo und die Königin von Saba
http://www.wikidata.org/entity/Q1268075,The French Lieutenant's Woman
http://www.wikidata.org/entity/Q1272527,Doña Bárbara
http://www.wikidata.org/entity/Q1280994,Till We Have Faces
http://www.wikidata.org/entity/Q1296168,Effi Briest
http://www.wikidata.org/entity/Q1306869,Une ville flottante
http://www.wikidata.org/entity/Q1307144,Small Gods
http://www.wikidata.org/entity/Q1340493,Hard Times – For These Times
http://www.wikidata.org/entity/Q1345004,Собачье сердце
http://www.wikidata.org/entity/Q1365904,Метро 2034
http://www.wikidata.org/entity/Q1373644,Eugénie Grandet
http://www.wikidata.org/entity/Q1376060,雪国
http://www.wikidata.org/entity/Q1414826,StarCraft: Liberty's Crusade
http://www.wikidata.org/entity/Q1420701,Vector
http://www.wikidata.org/entity/Q1427397,Flatterland
http://www.wikidata.org/entity/Q1427966,Pedro Páramo
http://www.wikidata.org/entity/Q1429230,Flor de mayo
http://www.wikidata.org/entity/Q1448469,An Old-Fashioned Girl
http://www.wikidata.org/entity/Q1462735,The King in Blood Red and Gold
http://www.wikidata.org/entity/Q1468941,Зелена пастка
http://www.wikidata.org/entity/Q1469091,Ábel a rengetegben
http://www.wikidata.org/entity/Q3015440,On the Street Where You Live
http://www.wikidata.org/entity/Q3015440,Dans la rue où vit celle que j'aime
http://www.wikidata.org/entity/Q3038780,Fallen Dragon
http://www.wikidata.org/entity/Q3050361,El señor Presidente
http://www.wikidata.org/entity/Q3058416,Espill
http://www.wikidata.org/entity/Q3111594,Scènes de la bohème
http://www.wikidata.org/entity/Q3111594,Scènes de la vie de bohème
http://www.wikidata.org/entity/Q3139595,Hombres de maíz
http://www.wikidata.org/entity/Q3163324,Jazz
http://www.wikidata.org/entity/Q3163999,Mecanoscrit del segon origen
http://www.wikidata.org/entity/Q3202654,The Female Man
http://www.wikidata.org/entity/Q3203006,L'Enfant de sable
http://www.wikidata.org/entity/Q3203413,The Expedition of Humphry Clinker
http://www.wikidata.org/entity/Q3204276,Intruder in the Dust
http://www.wikidata.org/entity/Q3204425,L'Odyssée de l'espèce
http://www.wikidata.org/entity/Q3207442,The Citadel of the Autarch
http://www.wikidata.org/entity/Q3208727,Grafarþögn
http://www.wikidata.org/entity/Q3210542,La Mare au diable
http://www.wikidata.org/entity/Q3211930,One for the Money
http://www.wikidata.org/entity/Q3213896,Röddin
http://www.wikidata.org/entity/Q3222682,The Ghost from the Grand Banks
http://www.wikidata.org/entity/Q3228043,Le vent de la nuit
http://www.wikidata.org/entity/Q3231303,The World Wreckers
http://www.wikidata.org/entity/Q3233957,Мужики
http://www.wikidata.org/entity/Q3237799,Liberty Bar
