,isbn_13,book_title,qid
0,9780002005883,Gilead
1,9780002261982,Spider's Web
2,9780006163831,The One Tree
3,9780006178736,Rage of Angels
4,9780006280897,The Four Loves
5,9780006280934,The Problem of Pain
6,9780006353287,An Autobiography
7,9780006380832,Empires of the Monsoon
8,9780006470229,The Gap Into Madness
9,9780006479673,If Tomorrow Comes
10,9780006480099,Assassin's Apprentice
11,9780006482079,Warhost of Vastmark
12,9780006483892,Murder in LaMut
13,9780006483908,Jimmy the Hand
14,9780006486145,Well of Darkness
15,9780006490456,Witness for the Prosecution & Selected Plays
16,9780006496434,The Little House
17,9780006496878,Mystical Paths
18,9780006496892,Glittering Images
19,9780006496922,Glamorous Powers
20,9780006498865,The Mad Ship
21,9780006499169,Post Captain
22,9780006499268,The Reverse of the Medal
23,9780006499626,Miss Marple
24,9780006511489,The Years of Rice and Salt
25,9780006513087,Gravity
26,9780006514640,The Wise Woman
27,9780006514855,Girls' Night in
28,9780006545866,The White Album
29,9780006550433,The Bonesetter's Daughter
30,9780006551393,The Lexus and the Olive Tree
31,9780006551812,'Tis
32,9780006646006,Ocean Star Express
33,9780006754893,A Small Pinch of Weather
34,9780006906018,The Princess of the Chalet School
35,9780007103676,Koko
36,9780007105045,Tree and Leaf
37,9780007111503,Partners in Crime
38,9780007113804,Murder in Mesopotamia
39,9780007116263,"The Lord of the Rings, the Return of the King"
40,9780007117536,All Families are Psychotic
41,9780007119332,Death in the Clouds
42,9780007119356,Appointment with Death
43,9780007120697,Hercule Poirot's Christmas
44,9780007120864,The Thirteen Problems
45,9780007120871,They Do it with Mirrors
46,9780007120963,A Murder is Announced
47,9780007120987,The Mirror Crack'd from Side to Side
48,9780007121007,Mrs McGinty's Dead
49,9780007121014,Taken at the Flood
50,9780007121021,The Hollow
51,9780007121106,Third Girl
52,9780007124015,The Lord of the Rings
53,9780007126903,The Metaphysical Club
54,9780007127740,The Illustrated Man
55,9780007129652,Wilkins' Tooth
56,9780007130313,Cut
57,9780007135653,The Lord of the Rings
58,9780007136582,The Lord of the Rings
59,9780007136599,The Fellowship of the Ring
60,9780007137336,Lirael
61,9780007149124,Tales from the Perilous Realm
62,9780007149612,Breaking Open the Head
63,9780007149827,The Yiddish Policemen's Union
64,9780007150304,"Beware, Princess Elizabeth"
65,9780007151240,The Family Way
66,9780007151677,Endless Night
67,9780007153589,How to be Alone
68,9780007154845,The Mysterious Mr. Quin
69,9780007154883,The Listerdale Mystery
70,9780007158058,The Real Trial of Oscar Wilde
71,9780007158515,I Can Read with Me Eyes Shut!
72,9780007158522,"Oh, the Places You'll Go!"
73,9780007162994,If I Die in a Combat Zone
74,9780007171996,The Return of the King
75,9780007173020,The Silmarillion
76,9780007173136,I Wish that I Had Duck Feet
77,9780007175222,Oh Say Can You Say?
78,9780007178636,There's a Boy in the Girls' Bathroom
79,9780007179817,Microserfs
80,9780007179824,Miss Wyoming
81,9780007189953,Where Rainbows End
82,9780007190683,Poirot
83,9780007191925,The Art of The Lord of the Rings
84,9780007195305,The Known World
85,9780007195718,Discover Your Destiny with the Monk Who Sold His Ferrari
86,9780007204441,Naked Lunch
87,9780007204465,Tropic of Cancer
88,9780007205585,Close Range
89,9780020199854,The Love of the Last Tycoon
90,9780020264736,The Song of Rhiannon
91,9780020442608,The Voyage of the Dawn Treader
92,9780020442806,The chronicles of Narnia
93,9780020518600,The Short Stories of Ernest Hemingway
94,9780023513206,Reason in History
95,9780024181909,The Elements of Style
96,9780024266408,The Presocratics
97,9780026995016,Spandau
98,9780027054903,The Rumble Seat Pony
99,9780027897500,The Journey with Grandmother
100,9780029131695,Tyranny of the Majority
101,9780029221303,The Origins of the Civil Rights Movement
102,9780029227961,Presidential Power and the Modern Presidents
103,9780030420566,"Rest, Rabbit, Rest"
104,9780030547744,Where the Red Fern Grows
105,9780060001537,Diary of a Spider
106,9780060004507,An Old-Fashioned Thanksgiving
107,9780060005696,The Paradox of Choice
108,9780060009427,How to Read Literature Like a Professor
109,9780060012342,The Amazing Maurice and His Educated Rodents
110,9780060012380,The Wee Free Men
111,9780060013134,Going Postal
112,9780060084387,Modern Mind
113,9780060085445,She Went All the Way
114,9780060085490,Island
115,9780060088743,A Year in the Life of William Shakespeare
